Category,Descript
inhibition,"Antibacterial activity of EOs exhibited better against gram-positive bacteria than gram-negative bacteria with the highest zone of inhibition against Staphylococcus aureus MTCC 96 (19.2 Â± 0.7) by clone-7.As per the conclusion of the findings, EOs of clone-2, clone-5 and clone-7 can be suggested to the growers of lower altitude, as there is more possibility of uses of these EOs in food and medicinal preparations."
activation,"Importantly, we found that LHPP over-expression blocked AKT activation."
inhibition,"Moreover, suppressing p53 expression with its inhibitor of PFTÎ± abrogated the activity of LHPP to impede cell proliferation and metastasis, and to trigger apoptosis."
inhibition,"Together with the viral proteins E5 and E2, E6 and E7 can favor the Warburg effect and contribute to radio- and chemoresistance through the increase in the activity of glycolytic enzymes, as well as the inhibition of the Krebs cycle and the respiratory chain."
induced,Resveratrol induced cell shrinkage in HeLa cells and apoptosis accompanied by the activation of caspase-3 and -9.
activation,Resveratrol induced cell shrinkage in HeLa cells and apoptosis accompanied by the activation of caspase-3 and -9.
activation,"In conclusion, these results suggest that MCM10 acts as an oncogene in ESCC through activation of Akt signaling and represents a promising therapeutic target for this malignancy."
activation,We found that activation of the IDH1 signaling pathway in endometrial cancer tissue resulting from aberrant expression of IDH1 and its downstream mediators conferred chemoresistance.
activation,"Moreover, we observed that chemoresistance was enhanced via a regulatory loop in which Nrf2 activated IDH1-É-KG-TET1-Nrf2 signaling via binding to the ARE sites in the IDH1 promoter region."
binding,"Moreover, we observed that chemoresistance was enhanced via a regulatory loop in which Nrf2 activated IDH1-É-KG-TET1-Nrf2 signaling via binding to the ARE sites in the IDH1 promoter region."
activation,"Reverse transcriptionâquantitative polymerase chain reaction was used to analyze the mRNA expression levels of fibroblast activation protein (FAP), interleukin (IL)â6, Î±âsmooth muscle actin (Î±âSMA) and programmed cell deathÂ 4 (PDCD4)."
activation,The concomitant activation of the p53 tumor suppressor and the suppression of cell cycle checkpoint responses mediated by Chk1 led to the cytostasis of cervical cancer cells.
induced,"In HeLa cells, it was observed that ellagic acid arrested the cell cycle at G1 phase, induced cell apoptosis, suppressed the phosphorylation of Janus kinase 2 and signal transducer and activator of transcription 3 (STAT3), as well as modulated the expression of associated proteins."
suppressed,"In HeLa cells, it was observed that ellagic acid arrested the cell cycle at G1 phase, induced cell apoptosis, suppressed the phosphorylation of Janus kinase 2 and signal transducer and activator of transcription 3 (STAT3), as well as modulated the expression of associated proteins."
activation,"In HeLa cells, it was observed that ellagic acid arrested the cell cycle at G1 phase, induced cell apoptosis, suppressed the phosphorylation of Janus kinase 2 and signal transducer and activator of transcription 3 (STAT3), as well as modulated the expression of associated proteins."
regulated,"Furthermore, the luteoloside-induced apoptosis in Hela cells is mediated by both intrinsic and extrinsic pathways and the effects of luteoloside may be regulated by the mitogen-activated protein kinases and mTOR signaling pathways via p53."
activation,"Low levels of NHERF1 in cervical cancer specimens were found to associate with activation of cell proliferation and Wnt/Î²-catenin signaling by gene set enrichment analysis, and also were an independent predictive factor for worse prognosis of cervical cancer patients by Cox regression analysis."
inhibition,"miR-18a enhances PD-L1 levels by targeting PTEN, WNK2 (ERK1/2 pathway inhibitor), and SOX6 (Wnt/Î²-catenin pathway inhibitor and p53 pathway activator) to activate the PI3K/AKT, MEK/ERK, and Wnt/Î²-catenin pathways and inhibit the p53 pathway, and miR-18a also directly suppresses the expression of the tumor suppressors BTG3 and RBSP3 (CTDSPL)."
activation,"miR-18a enhances PD-L1 levels by targeting PTEN, WNK2 (ERK1/2 pathway inhibitor), and SOX6 (Wnt/Î²-catenin pathway inhibitor and p53 pathway activator) to activate the PI3K/AKT, MEK/ERK, and Wnt/Î²-catenin pathways and inhibit the p53 pathway, and miR-18a also directly suppresses the expression of the tumor suppressors BTG3 and RBSP3 (CTDSPL)."
activation,"Conversely, suppressing RHCG elevated NF-ÎºB activation and xIPA expression in cervical cancer cells."
induced,Vosaroxin also induced apoptosis and increased caspase-3 activity in HeLa cells.
inhibition,"More importantly, vosaroxin-induced inhibition on HIF-1Î± and its cytotoxic effects, as measured by cell viability, LDH release and apoptosis, were partially prevented by Sirt3 knockdown or the AMP-activated protein kinase (AMPK) inhibitor compound C. Overall, vosaroxin is demonstrated to be a chemotherapeutic agent targeting the Sirt3/HIF-1 pathway and could be beneficial for inducing cytotoxicity in human cervical cancer cells."
inhibition,"More importantly, vosaroxin-induced inhibition on HIF-1Î± and its cytotoxic effects, as measured by cell viability, LDH release and apoptosis, were partially prevented by Sirt3 knockdown or the AMP-activated protein kinase (AMPK) inhibitor compound C. Overall, vosaroxin is demonstrated to be a chemotherapeutic agent targeting the Sirt3/HIF-1 pathway and could be beneficial for inducing cytotoxicity in human cervical cancer cells."
activation,HSF2 activated ALG3 and promoted the growth of breast carcinoma.
inhibition,"L. robustum inhibits tumor cell growth both in vitro and in vivo by inducing apoptosis in a caspase-dependent way without apparent hepatic toxicity and histological damage, which may offer partial scientific support for the ethnopharmacological claims of L. robustum as a herbal tea for its antitumor activity."
activation,"During the initial stage of carcinogenesis, telomeres shorten until telomerase activates."
activation,"The activation of telomerase, the enzyme necessary to extend chromosome ends (telomeres) is the key step in cell immortalization."
inhibition,"FR3 inhibited MMP-2 and MMP-9 activity, indicated by zymogram."
inhibition,"FR3 inhibited MMP-2 activity in the HeLa supernatant, differently from the control."
promotes,miR-92a promotes tumor growth and suppresses immune function by inhibiting PTEN via activation of the MAPK/ERK signaling pathway in mice bearing U14 cervical cancer.
inhibition,miR-92a promotes tumor growth and suppresses immune function by inhibiting PTEN via activation of the MAPK/ERK signaling pathway in mice bearing U14 cervical cancer.
activation,miR-92a promotes tumor growth and suppresses immune function by inhibiting PTEN via activation of the MAPK/ERK signaling pathway in mice bearing U14 cervical cancer.
suppressed,"Further, miRNA-489 over-expression suppressed the activation of PI3K and AKT, and stimulated P53 proteins expression."
activation,"Further, miRNA-489 over-expression suppressed the activation of PI3K and AKT, and stimulated P53 proteins expression."
activation,"In terms of mechanism, we found that hsa_circ_0023404 acted as a sponge of miR-136 and miR-136 targeted TFCP2, which is an activator of YAP signaling pathway."
activation,"We showed that hsa_circ_0023404 activated YAP pathway in CC via promoting TFCP2 expression by sponging miR-136, leading to CC development and progression."
activation,"Caspase-Glo assay kits, measuring the activity of caspases-3, -7, -8 and -9, were used to detect caspase activation in HeLa and CaSki cell lines in response to CDDP and CFC in combination."
induced,"Conclusions: SFA gels, like its active ingredients, can restrain cervical cancer cells proliferation, suppress cervical cancer cell migration, induce the apoptosis and cell cycle arrest in cervical cancer cells."
activation,"Furthermore, a signal transducer and activator of transcription 3 (STAT3) was identified as a direct target of miR-411 in this disease."
inhibition,The CDK9 inhibitor FIT-039 showed potent anti-HPV activity without significant toxicity in preclinical studies.
activation,The strategies that high-risk HPVs have developed in differentiating epithelial cells to reach a DNA-synthesis competent state leading to tumorigenic transformation are basically due to overexpression of the E6 and E7 oncoproteins and the activation of diverse cellular regulatory or signaling pathways that are targeted by them.
activation,"Thus, in this article, we discuss molecular signaling pathways activated by HPV and potential targets or biomarkers for early detection or prevention and the treatment of HPV-associated cancers."
activation,"In addition, unlike cisplatin, arborinine activated caspase-dependent apoptosis without inducing DNA damage response."
activation,"Secondly, flow cytometry incorporating AnnexinÂ VâFITC/PIâstaining revealed that spermidine promoted the apoptosis of HeLa cells, and western blot analysis revealed that spermidine activated autophagy."
inhibition,"Finally, spermidineâactivated autophagy mediated the inhibition of cell proliferation by spermidine and spermidineâinduced apoptosis in HeLa cells."
inhibition,"Collectively, these results revealed a novel function for spermidine in inhibiting cellular proliferation and inducing apoptosis of HeLa cells by activating autophagy, which may have important implications for the use of spermidine in cervical cancer therapy."
inhibition,"Phase II studies using anti-PD-1 molecules, nivolumab and pembrolizumab are ongoing, and GOG 3016, the first phase III randomized trial of a checkpoint inhibitor (cemiplimab) in cervical cancer, recently activated."
activation,"Phase II studies using anti-PD-1 molecules, nivolumab and pembrolizumab are ongoing, and GOG 3016, the first phase III randomized trial of a checkpoint inhibitor (cemiplimab) in cervical cancer, recently activated."
activation,Metformin also decreases both pro-inflammatory cytokines and nuclear factor kappa-light-chain-enhancer of activated B cells (NF-ÎºB) and improves the immune response to cancer cells.
activation,"Especially, it was revealed in promoter activity assay using mutated luciferase vectors on transcription factor-binding sites that TWIST1 is promoted by DMBA through induction of STAT3-mediated promoter activation."
induced,"In conclusion, our data suggested that DMBA induced carcinogenic effects through activation of Wnt/Î²-catenin signaling and the EMT process by upregulating Sp1 activity."
activation,"In conclusion, our data suggested that DMBA induced carcinogenic effects through activation of Wnt/Î²-catenin signaling and the EMT process by upregulating Sp1 activity."
activation,"VEGF-C activated c-Src and c-Src inhibitor PP2 abolished VEGF-C effect on miR-326 and cortactin expression, implying that VEGF-C regulated miR-326/cortactin via c-Src signaling."
inhibition,"VEGF-C activated c-Src and c-Src inhibitor PP2 abolished VEGF-C effect on miR-326 and cortactin expression, implying that VEGF-C regulated miR-326/cortactin via c-Src signaling."
regulated,"VEGF-C activated c-Src and c-Src inhibitor PP2 abolished VEGF-C effect on miR-326 and cortactin expression, implying that VEGF-C regulated miR-326/cortactin via c-Src signaling."
promotes,These data suggest that KIF18B can serve as a novel oncogene that promotes the tumorigenicity of cervical cancer cells by activating Wnt/Î²-catenin signaling pathway.
activation,The transcription factor signal transducer and activator of transcription (STAT)-3 is important for cell cycle progression and cell survival in response to cytokines and growth factors.
activation,E6-mediated activation of STAT3 induces the transcription of STAT3 responsive genes including cyclin D1 and Bcl-xL.
induced,E6-mediated activation of STAT3 induces the transcription of STAT3 responsive genes including cyclin D1 and Bcl-xL.
inhibition,"Silencing of STAT3 protein expression by siRNA or inhibition of STAT3 activation by small molecule inhibitors, or by expression of dominant negative STAT3 phosphorylation site mutants, results in blockade of cell cycle progression."
activation,"Silencing of STAT3 protein expression by siRNA or inhibition of STAT3 activation by small molecule inhibitors, or by expression of dominant negative STAT3 phosphorylation site mutants, results in blockade of cell cycle progression."
activation,"Finally, increased STAT3 expression and phosphorylation is observed in HPV positive cervical disease biopsies compared to control samples, highlighting a role for STAT3 activation in cervical carcinogenesis."
activation,"The expression levels of PKCÎ¶, survivin, matrix metalloproteinase (MMP)2, MMP9 as well as the phosphorylation of signal transducer and activator of transcription (STAT) 3 were reduced in baicalin administrated cervical cancer cells."
activation,The increase of caspase-3 activation by 3.7 folds supported the strong apoptosis induction.
activation,"The interaction site of IKKÎµ with E6 is located in the region containing the enzyme catalytic site, suggesting an influence of E6 on the activation of IKKÎµ target proteins."
activation,HPV16 E6 potentiated the activation of NF-ÎºB by various TLR pathway members.
inhibition,"The key findings of the study demonstrated that miR-374b significantly inhibits cell proliferation, migration, and invasion through the blockade of the p38/ERK signaling pathway activation, as well as negatively binding to JAM-2, highlighting its potential as a therapeutic target for CC."
activation,"The key findings of the study demonstrated that miR-374b significantly inhibits cell proliferation, migration, and invasion through the blockade of the p38/ERK signaling pathway activation, as well as negatively binding to JAM-2, highlighting its potential as a therapeutic target for CC."
binding,"The key findings of the study demonstrated that miR-374b significantly inhibits cell proliferation, migration, and invasion through the blockade of the p38/ERK signaling pathway activation, as well as negatively binding to JAM-2, highlighting its potential as a therapeutic target for CC."
induced,"Zaltoprofen was found to induce expressions of PPARÎ³ mRNA and protein in human chondrosarcoma SW1353 and OUMS27 cells, and induce PPARÎ³-responsible promoter reporter activities."
activation,"Inhibitory effects of zaltoprofen were observed on cell viability, proliferation, migration, and invasion, and the activity of matrix metalloproteinase-2 (MMP2); these effects were dependent on PPARÎ³ activation and evidenced by silencing PPARÎ³."
regulated,"Further, analysis of the promoter of HOTAIR, revealed that STAT3 could potentially regulate the activity of the HOTAIR in cervical cancer cells and inhibition of STAT3 had similar effects on the proliferation, migration and invasion of the cervical cancer cells as that of HOTAIR."
inhibition,"Further, analysis of the promoter of HOTAIR, revealed that STAT3 could potentially regulate the activity of the HOTAIR in cervical cancer cells and inhibition of STAT3 had similar effects on the proliferation, migration and invasion of the cervical cancer cells as that of HOTAIR."
activation,"In conclusion, the present results indicated that the anti-proliferative action of isorhamnetin is associated with arrest of the cell cycle in G2/M phase, which is a consequence of activation of the ataxia telangiectasia mutated Chk2 pathway and disruption of microtubule function."
activation,"Western blot analysis was performed to analyze the expression of myeloid differentiation 88 (MyD88), nuclear factor-ÎºB (NF-ÎºB), cyclin D1 and signal transducer and activator of transcription 3 (STAT3) proteins."
inhibition,"The growth inhibition of the cells by BA was coupled with DNA strand breaks, morphological changes, disruption of MMP, reactive oxygen species (ROS) generation and the cell arrest at G0/G1 stage of cell cycle."
activation,"Furthermore, overexpression of S100A6 in HeLa cells activated the phosphoinositide 3-kinase (PI3K)/protein kinase B (Akt) signaling pathway, and treatment with the PI3K inhibitor LY294002 partially repressed S100A6-enhanced proliferation and migration of cervical cancer cells."
inhibition,"Furthermore, overexpression of S100A6 in HeLa cells activated the phosphoinositide 3-kinase (PI3K)/protein kinase B (Akt) signaling pathway, and treatment with the PI3K inhibitor LY294002 partially repressed S100A6-enhanced proliferation and migration of cervical cancer cells."
activation,"An effort to study the underlying mechanotransduction revealed that autophagy induction by shear stress requires intact lipid rafts which serve as signalling platforms to trigger phosphorylation of p38 mitogen activated protein kinases, leading to autophagy."
inhibition,"In conclusion, TRIM3 had the ability to suppress cell proliferation by inactivating p38 signaling pathway, which indicated that it might act as a tumor inhibitor and an underlying therapeutic target for cervical cancer."
activation,The phosphoinositide 3-kinase (PI3K)/protein kinase B (AKT) pathway is constitutively activated in cervical cancer.
inhibition,"In conclusion, INPP4B impedes the proliferation and invasiveness of cervical cancer cells by inhibiting the activation of two downstream molecules of the PI3K pathway, AKT and SGK3."
activation,"In conclusion, INPP4B impedes the proliferation and invasiveness of cervical cancer cells by inhibiting the activation of two downstream molecules of the PI3K pathway, AKT and SGK3."
inhibition,These data show that SLP-2 inhibits cisplatin-induced apoptosis by activating the MEK/ERK signaling and inhibiting the mitochondrial apoptosis pathway in cervical cancer cells.
inhibition,These data show that SLP-2 inhibits cisplatin-induced apoptosis by activating the MEK/ERK signaling and inhibiting the mitochondrial apoptosis pathway in cervical cancer cells.
activation,"The mechanism through which skin toxicity arises during treatment with EGFR inhibitors is not well known, but seems to be due to the modification of the RAS/RAF/MEK/ERK signal path associated with its activation, which results in the similarity between the adverse effects of EGFR inhibitors and the treatment of melanoma with BRAF and MEK inhibitors."
inhibition,"Sesamin inhibits proliferation/migration of HeLa cells and induces ER stress-mediated apoptosis through IRE1Î±/JNK pathway, and that it activates autophagy and autophagic death in these cells, further validate the anticancer effect of sesamin."
induced,"Sesamin inhibits proliferation/migration of HeLa cells and induces ER stress-mediated apoptosis through IRE1Î±/JNK pathway, and that it activates autophagy and autophagic death in these cells, further validate the anticancer effect of sesamin."
activation,"Sesamin inhibits proliferation/migration of HeLa cells and induces ER stress-mediated apoptosis through IRE1Î±/JNK pathway, and that it activates autophagy and autophagic death in these cells, further validate the anticancer effect of sesamin."
induced,Complex 2 can induce condensation of DNA and enhances the generation of intracellular reactive oxygen species (ROS).
promotes,"Our data demonstrated that DAX1 is overexpressed in cervical cancer, and that it promotes cell growth and tumorigenicity through activating Wnt/Î²-catenin pathway mediated by GSK3Î²."
activation,"Anti-HPV activity, through measuring E6 protein levels, subsequent downstream p53 effects, and caspase-3 activation, were studied to understand a possible mechanism of action."
induced,"Resveratrol and to a greater extent pterostilbene downregulates the HPV oncoprotein E6, induces caspase-3 activation, and upregulates p53 protein levels."
activation,"Resveratrol and to a greater extent pterostilbene downregulates the HPV oncoprotein E6, induces caspase-3 activation, and upregulates p53 protein levels."
activation,"Results point to a mechanism that may involve the downregulation of the HPV E6 oncoprotein, activation of apoptotic pathways, and re-establishment of functional p53 protein, with pterostilbene showing greater efficacy than resveratrol."
induced,The cytotoxicity induced by EB1 gene knockdown was due to the activation and generation of reactive oxygen species by p38 mitogen-activated protein kinase.
activation,The cytotoxicity induced by EB1 gene knockdown was due to the activation and generation of reactive oxygen species by p38 mitogen-activated protein kinase.
promotes,"miR-501 promotes cervical cancer cell proliferation, migration and invasion possibly via downregulating CYLD and subsequently activating NF-ÎºB p65."
activation,Alterations in Toll-like receptors (TLR) expression and activation may be important for the control of HPV infections and could play a role in the progression of lesions and tumors.
activation,"Major alterations were detected in genes coding for several proteins of the TLR signaling axis, including TLR adaptor molecules and genes associated with MAPK pathway, NFÎºB activation and antiviral immune response."
activation,"Here, we tested the functionality of two BphP1-QPAS1-based optogenetic tools-an NIR- and blue-light-sensing system for control of protein localization (iRIS) and an NIR light-sensing system for transcription activation (TA)-in several cell types, including cortical neurons."
activation,"The results suggested that 8 apoptotic markers (caspase 8, BAD, BAX, second mitochondrial-derived activator, caspase 3, survivin, bcl-2, and cIAP-2) were either upregulated or downregulated."
induced,"MT1M can suppress HepG2 proliferation and induce HepG2 apoptosis through downregulating Bcl-2, upregulating Bax, and enhancing Caspase-3 activity."
induced,Fucosterol also induced apoptosis in HeLa cells and prompted reactive oxygen species mediated alterations in mitochondrial membrane potential.
activation,"The activation of the phosphoinositide-3-kinase (PI3K)/AKT Serine/Threonine Kinase 1 (AKT)/mechanistic target of Rapamycin (mTOR) pathway is important in cancer tumorigenesis, progression and chemotherapy resistance."
activation,Replication of high-risk HPVs requires the activation of the ataxia telangiectasia-mutated (ATM) and ATM- and Rad3-related (ATR) DNA repair pathways.
induced,The ability of TGFÎ² to induce IFN-Îº promoter demethylation and transcriptional activation provides a new explanation for why HPV has evolved mechanisms to inhibit TGFÎ² in infected cells.
activation,The ability of TGFÎ² to induce IFN-Îº promoter demethylation and transcriptional activation provides a new explanation for why HPV has evolved mechanisms to inhibit TGFÎ² in infected cells.
activation,"In summary, the present study demonstrated that p68 transcriptionally activated the expression of TGF-Î²1, thereby prompting EMT in cervical cancer cells."
inhibition,In the present study we identified the presence of a mTOR inhibitor in an active fraction of the ethyl acetate extract of Streptomyces sp OA293.
inhibition,"The metabolites(s) in the active fraction completely inhibited mTORC1 and thereby suppressed activation of both of its downstream targets, 4E-BP1 and P70S6k, in cervical cancer cells."
suppressed,"The metabolites(s) in the active fraction completely inhibited mTORC1 and thereby suppressed activation of both of its downstream targets, 4E-BP1 and P70S6k, in cervical cancer cells."
activation,"The metabolites(s) in the active fraction completely inhibited mTORC1 and thereby suppressed activation of both of its downstream targets, 4E-BP1 and P70S6k, in cervical cancer cells."
activation,"In addition, it also stalled Akt activation via inhibition of mTORC2."
inhibition,"In addition, it also stalled Akt activation via inhibition of mTORC2."
induced,The active fraction induced autophagy and Bax mediated apoptosis suggesting that mTOR inhibition resulted in programmed cell death of cancer cells.
inhibition,The active fraction induced autophagy and Bax mediated apoptosis suggesting that mTOR inhibition resulted in programmed cell death of cancer cells.
inhibition,The molecular weight determination of the components in active fraction confirmed the absence of any previously known natural mTOR inhibitor.
promotes,"Here, we identified that the splicing factor SRSF10, which promotes tumorigenesis of cervix, was upregulated by E6E7 via E2F1 transcriptional activation."
activation,"Here, we identified that the splicing factor SRSF10, which promotes tumorigenesis of cervix, was upregulated by E6E7 via E2F1 transcriptional activation."
activation,"SRSF10-mediated mIL1RAP upregulates the expression of the ""don't eat me"" signal CD47 to inhibit macrophage phagocytosis by promoting nuclear factor-ÎºB activation, which is pivotal in inflammatory, immune, and tumorigenesis processes."
activation,"An increase in the interaction between HIF-1Î± and the VEGF promoter, which was assessed by a chromatin immunoprecipitation (ChIP) assay, led to activation of the VEGF promoter."
activation,These data demonstrate that HIF-1Î± may be stabilized and translocated into the nucleus for the activation of VEGF promoter by TSA-mediated acetylation at K674 under normoxic conditions.
activation,Upregulation of IL-8 expression in CCAR2-deficient cells occurred via activation of transcription factor AP-1.
inhibition,"The immune checkpoint inhibitor enables the inhibition of indoleamine-2,3-dioxygenase and reverses immunosuppressive T cells to recognize cancer cells, leading to T cell proliferation and activation, cancer cell cycle arrest, and ultimately increased cancer cell death."
inhibition,"The immune checkpoint inhibitor enables the inhibition of indoleamine-2,3-dioxygenase and reverses immunosuppressive T cells to recognize cancer cells, leading to T cell proliferation and activation, cancer cell cycle arrest, and ultimately increased cancer cell death."
activation,"The immune checkpoint inhibitor enables the inhibition of indoleamine-2,3-dioxygenase and reverses immunosuppressive T cells to recognize cancer cells, leading to T cell proliferation and activation, cancer cell cycle arrest, and ultimately increased cancer cell death."
activation,"Consistently, western blotting showed that buformin activated AMPK and suppressed S6, cyclin D1, CDK4, and MMP9."
suppressed,"Consistently, western blotting showed that buformin activated AMPK and suppressed S6, cyclin D1, CDK4, and MMP9."
induced,"The aim of the present study was to evaluate this variant's bioactivity, to test its effect on cervical cancer cell apoptosis, and to assess its ability to induce cytokine production on THP-1 macrophages."
activation,"The expression of CD25, an activated T-cell marker, was negatively correlated with the labelling index of PD-L1 and PD-1."
suppressed,Baicalein suppressed cervical cancer cell C33A proliferation and induced cell apoptosis by activating caspaseâ3 activity.
induced,Baicalein suppressed cervical cancer cell C33A proliferation and induced cell apoptosis by activating caspaseâ3 activity.
activation,"MEHP treatment can increase the phosphorylation and nuclear localization of Akt, while had no effect on the activation of ERK1/2 or p65."
inhibition,"In addition, the inhibitor of G protein coupled estrogen receptor (GPER), while not estrogen receptor Î± (ERÎ±), can abolish MEHP induced phosphorylation of Akt and cell proliferation, suggesting that GPER is involved in MEHP induced activation of Akt."
induced,"In addition, the inhibitor of G protein coupled estrogen receptor (GPER), while not estrogen receptor Î± (ERÎ±), can abolish MEHP induced phosphorylation of Akt and cell proliferation, suggesting that GPER is involved in MEHP induced activation of Akt."
activation,"In addition, the inhibitor of G protein coupled estrogen receptor (GPER), while not estrogen receptor Î± (ERÎ±), can abolish MEHP induced phosphorylation of Akt and cell proliferation, suggesting that GPER is involved in MEHP induced activation of Akt."
activation,"Collectively, our data showed that MEHP can trigger the progression of cervical cancer via activation of GPER/Akt."
activation,Suppressor of fused is essential for the maximal activation of Sonic Hedgehog signaling in development and tumorigenesis.
inhibition,"In this study, novel proteasome inhibitor delanzomib (CEP-18770) exhibited potent pro-apoptotic and cytotoxic effects on a panel of cervical cancer cell lines by blocking proteasomal activity."
inhibition,These results suggest that SHP-2 inhibits the apoptosis induced by chemotherapeutic drugs through activating autophagy to degrade damaged mitochondria and ubiquitin ligase Parkin involved in SHP-2 induced autophagy.
induced,These results suggest that SHP-2 inhibits the apoptosis induced by chemotherapeutic drugs through activating autophagy to degrade damaged mitochondria and ubiquitin ligase Parkin involved in SHP-2 induced autophagy.
activation,"In addition, the results revealed that GRh2 prevented activation of the protein kinase B (Akt)/glycogen synthase kinase (GSK)3Î² signaling pathway in HeLa cells."
induced,"Allogeneic bEnd.3 vaccine induced an active and specific immune response to tumor vascular endothelial cells that resulted in production of antibodies against the proliferation antigens VEGF-R II, integrin, Endog etc."
induced,"SEluc-1 was further applied to fluorescence imaging of thiol activity in living human cervical cancer HeLa cell cultures, and was successfully able to detect fluctuations in thiol concentrations induced by oxidative stress in a bioluminescent assay utilizing African green monkey fibroblast COS-7 cells and human breast adenocarcinoma MCF-7 cells."
induced,"Transfection of a FGFR3-TACC3 fusion transcript into four cervical cancer cell lines (SiHa, ME180, HeLa, and Ca Ski) induced activation of the MAPK pathway and enhancement of cell proliferation."
activation,"Transfection of a FGFR3-TACC3 fusion transcript into four cervical cancer cell lines (SiHa, ME180, HeLa, and Ca Ski) induced activation of the MAPK pathway and enhancement of cell proliferation."
activation,"Transcriptome analysis of the FGFR3-TACC3 fusion-transfected cell lines revealed that an IL8-triggered inflammatory response was increased, via activation of FGFR3-MAPK signaling."
activation,Continuous expression of FGFR3-TACC3 fusion led to activation of the PI3K-AKT pathway only in the two cell lines that harbored PIK3CA mutations.
activation,"In our study, we found that Rab11, together with the activation of Rac1, could stimulate invasion and migration of cervical cancer cell lines HeLa/SiHa in hypoxia."
